event_id,date,timestamp,shift,furnace,duration_min,category,reason,is_planned
DT-50001,2025-10-01,2025-10-01 11:02:28,Day,VIM-01,1.4,Short Stop,Shell alignment,False
DT-50002,2025-10-01,2025-10-01 08:04:00,Day,VIM-01,2.5,Short Stop,Operator break,False
DT-50003,2025-10-01,2025-10-01 06:46:25,Day,VIM-01,6.2,Short Stop,Vacuum leak minor,False
DT-50004,2025-10-01,2025-10-01 10:26:34,Day,VIM-02,4.0,Short Stop,Pour rate adjustment,False
DT-50005,2025-10-01,2025-10-01 10:42:57,Day,VIM-02,1.2,Short Stop,Thermocouple check,False
DT-50006,2025-10-01,2025-10-01 10:14:54,Day,VIM-02,8.9,Short Stop,Thermocouple check,False
DT-50007,2025-10-01,2025-10-01 11:18:19,Day,VIM-02,84.1,Breakdown,Vacuum pump failure,False
DT-50008,2025-10-01,2025-10-01 06:18:52,Day,VIM-03,2.0,Short Stop,Mold positioning,False
DT-50009,2025-10-01,2025-10-01 08:21:59,Day,VIM-03,2.1,Short Stop,Operator break,False
DT-50010,2025-10-01,2025-10-01 11:11:30,Day,VIM-03,5.7,Short Stop,Thermocouple check,False
DT-50011,2025-10-01,2025-10-01 06:57:21,Day,VIM-04,1.8,Short Stop,Vacuum leak minor,False
DT-50012,2025-10-01,2025-10-01 13:49:05,Day,VIM-04,11.9,Short Stop,Chamber pressure fluctuation,False
DT-50013,2025-10-01,2025-10-01 15:15:14,Swing,VIM-01,2.7,Short Stop,Shell alignment,False
DT-50014,2025-10-01,2025-10-01 19:29:37,Swing,VIM-01,7.4,Short Stop,Vacuum leak minor,False
DT-50015,2025-10-01,2025-10-01 18:39:15,Swing,VIM-02,3.1,Short Stop,Vacuum leak minor,False
DT-50016,2025-10-01,2025-10-01 15:12:14,Swing,VIM-03,8.3,Short Stop,Vacuum leak minor,False
DT-50017,2025-10-01,2025-10-01 15:48:23,Swing,VIM-03,14.0,Short Stop,Vacuum leak minor,False
DT-50018,2025-10-01,2025-10-01 16:59:42,Swing,VIM-03,14.0,Short Stop,Thermocouple check,False
DT-50019,2025-10-01,2025-10-01 14:54:55,Swing,VIM-04,1.9,Short Stop,Material staging,False
DT-50020,2025-10-01,2025-10-01 16:23:03,Swing,VIM-04,3.9,Short Stop,Material staging,False
DT-50021,2025-10-01,2025-10-01 19:15:52,Swing,VIM-04,8.9,Short Stop,Thermocouple check,False
DT-50022,2025-10-01,2025-10-01 18:33:10,Swing,VIM-04,12.1,Short Stop,Vacuum leak minor,False
DT-50023,2025-10-01,2025-10-01 23:22:28,Night,VIM-03,2.1,Short Stop,Operator break,False
DT-50024,2025-10-01,2025-10-02 05:05:53,Night,VIM-04,13.3,Short Stop,Thermocouple check,False
DT-50025,2025-10-01,2025-10-02 04:35:51,Night,VIM-04,7.1,Short Stop,Vacuum leak minor,False
DT-50026,2025-10-02,2025-10-02 06:45:19,Day,VIM-01,4.8,Short Stop,Shell alignment,False
DT-50027,2025-10-02,2025-10-02 07:06:31,Day,VIM-01,1.8,Short Stop,Shell alignment,False
DT-50028,2025-10-02,2025-10-02 08:45:22,Day,VIM-01,3.9,Short Stop,Chamber pressure fluctuation,False
DT-50029,2025-10-02,2025-10-02 09:53:12,Day,VIM-01,13.2,Short Stop,Operator break,False
DT-50030,2025-10-02,2025-10-02 10:29:19,Day,VIM-02,3.1,Short Stop,Vacuum leak minor,False
DT-50031,2025-10-02,2025-10-02 09:15:20,Day,VIM-04,8.3,Short Stop,Material staging,False
DT-50032,2025-10-02,2025-10-02 09:43:02,Day,VIM-04,2.6,Short Stop,Thermocouple check,False
DT-50033,2025-10-02,2025-10-02 09:47:23,Day,VIM-04,5.5,Short Stop,Operator break,False
DT-50034,2025-10-02,2025-10-02 20:01:26,Swing,VIM-01,3.9,Short Stop,Material staging,False
DT-50035,2025-10-02,2025-10-02 20:34:10,Swing,VIM-01,2.5,Short Stop,Material staging,False
DT-50036,2025-10-02,2025-10-02 15:10:13,Swing,VIM-02,4.0,Short Stop,Mold positioning,False
DT-50037,2025-10-02,2025-10-02 15:00:00,Swing,VIM-02,174.7,Planned Maintenance,PM - Crucible change,True
DT-50038,2025-10-02,2025-10-02 20:34:00,Swing,VIM-03,1.6,Short Stop,Shell alignment,False
DT-50039,2025-10-02,2025-10-02 17:21:41,Swing,VIM-03,7.3,Short Stop,Pour rate adjustment,False
DT-50040,2025-10-02,2025-10-02 14:56:55,Swing,VIM-03,7.8,Short Stop,Shell alignment,False
DT-50041,2025-10-02,2025-10-02 21:30:39,Swing,VIM-04,1.0,Short Stop,Shell alignment,False
DT-50042,2025-10-02,2025-10-02 19:20:56,Swing,VIM-04,10.6,Short Stop,Chamber pressure fluctuation,False
DT-50043,2025-10-02,2025-10-03 03:47:19,Night,VIM-01,3.8,Short Stop,Material staging,False
DT-50044,2025-10-02,2025-10-03 02:11:27,Night,VIM-01,5.9,Short Stop,Material staging,False
DT-50045,2025-10-02,2025-10-03 03:53:03,Night,VIM-02,14.0,Short Stop,Vacuum leak minor,False
DT-50046,2025-10-02,2025-10-03 04:07:42,Night,VIM-02,2.7,Short Stop,Thermocouple check,False
DT-50047,2025-10-02,2025-10-03 01:35:21,Night,VIM-02,9.2,Short Stop,Shell alignment,False
DT-50048,2025-10-02,2025-10-03 00:25:40,Night,VIM-02,2.6,Short Stop,Shell alignment,False
DT-50049,2025-10-02,2025-10-03 02:51:06,Night,VIM-02,2.4,Short Stop,Pour rate adjustment,False
DT-50050,2025-10-02,2025-10-03 00:49:07,Night,VIM-02,4.9,Short Stop,Vacuum leak minor,False
DT-50051,2025-10-02,2025-10-02 22:25:00,Night,VIM-03,4.0,Short Stop,Operator break,False
DT-50052,2025-10-02,2025-10-03 00:22:02,Night,VIM-03,4.1,Short Stop,Operator break,False
DT-50053,2025-10-02,2025-10-03 05:37:42,Night,VIM-03,5.6,Short Stop,Vacuum leak minor,False
DT-50054,2025-10-02,2025-10-02 23:00:00,Night,VIM-03,148.9,Planned Maintenance,PM - Furnace rebuild,True
DT-50055,2025-10-02,2025-10-03 03:14:55,Night,VIM-04,5.0,Short Stop,Vacuum leak minor,False
DT-50056,2025-10-02,2025-10-03 05:41:24,Night,VIM-04,1.9,Short Stop,Shell alignment,False
DT-50057,2025-10-02,2025-10-03 01:12:16,Night,VIM-04,1.4,Short Stop,Vacuum leak minor,False
DT-50058,2025-10-02,2025-10-03 02:11:18,Night,VIM-04,2.5,Short Stop,Chamber pressure fluctuation,False
DT-50059,2025-10-03,2025-10-03 09:00:52,Day,VIM-01,3.4,Short Stop,Thermocouple check,False
DT-50060,2025-10-03,2025-10-03 12:27:42,Day,VIM-01,5.4,Short Stop,Pour rate adjustment,False
DT-50061,2025-10-03,2025-10-03 12:38:54,Day,VIM-01,14.0,Short Stop,Thermocouple check,False
DT-50062,2025-10-03,2025-10-03 11:08:15,Day,VIM-01,14.0,Short Stop,Material staging,False
DT-50063,2025-10-03,2025-10-03 11:12:51,Day,VIM-02,2.7,Short Stop,Mold positioning,False
DT-50064,2025-10-03,2025-10-03 10:17:45,Day,VIM-03,4.5,Short Stop,Pour rate adjustment,False
DT-50065,2025-10-03,2025-10-03 10:04:17,Day,VIM-03,8.5,Short Stop,Operator break,False
DT-50066,2025-10-03,2025-10-03 15:31:56,Swing,VIM-01,4.0,Short Stop,Thermocouple check,False
