event_id,date,timestamp,shift,furnace,alloy,part_type,pour_position,pour_temp_c,mold_preheat_c,shell_humidity_rh,parts_cast,parts_good,parts_scrap,first_time_yield,defects,pour_duration_min,effective_yield_target
EVT-10001,2025-10-01,2025-10-01 06:04:00,Day,VIM-04,Waspaloy,HPT Blade,1,1487.9,1041.4,49.7,12,9,3,0.75,"[""Shell Crack"", ""Inclusion"", ""Porosity""]",39.2,0.78
EVT-10002,2025-10-01,2025-10-01 06:38:00,Day,VIM-01,IN718,HPT Blade,2,1492.8,1064.2,50.6,6,5,1,0.833,"[""Inclusion""]",28.4,0.8
EVT-10003,2025-10-01,2025-10-01 07:14:00,Day,VIM-03,CMSX-4,Nozzle Guide Vane,3,1546.6,1058.2,47.9,12,9,3,0.75,"[""Stray Grain"", ""Shell Crack"", ""Shell Crack""]",31.0,0.62
EVT-10004,2025-10-01,2025-10-01 08:11:00,Day,VIM-03,CMSX-4,Nozzle Guide Vane,4,1553.2,1089.3,48.3,12,8,4,0.667,"[""Dimensional"", ""Shell Crack"", ""Dimensional"", ""Shell Crack""]",35.4,0.599
EVT-10005,2025-10-01,2025-10-01 09:09:00,Day,VIM-04,IN738,LPT Blade,5,1517.0,1050.6,50.8,8,6,2,0.75,"[""Shell Crack"", ""Shell Crack""]",34.0,0.79
EVT-10006,2025-10-01,2025-10-01 09:41:00,Day,VIM-04,CMSX-4,Shroud,6,1542.5,1086.7,49.5,6,5,1,0.833,"[""Inclusion""]",34.2,0.62
EVT-10007,2025-10-01,2025-10-01 13:47:00,Swing,VIM-01,René-80,Nozzle Guide Vane,1,1514.4,1048.8,49.8,6,6,0,1.0,[],31.7,0.74
EVT-10008,2025-10-01,2025-10-01 14:45:00,Swing,VIM-02,IN738,LPT Blade,2,1534.1,1076.7,48.2,8,8,0,1.0,[],37.7,0.742
EVT-10009,2025-10-01,2025-10-01 15:28:00,Swing,VIM-04,IN738,HPT Blade,3,1510.9,1065.8,51.8,8,6,2,0.75,"[""Shell Crack"", ""Hot Tear""]",35.9,0.79
EVT-10010,2025-10-01,2025-10-01 16:18:00,Swing,VIM-01,IN718,HPT Blade,4,1506.3,1054.5,50.5,8,7,1,0.875,"[""Shell Crack""]",40.2,0.82
EVT-10011,2025-10-01,2025-10-01 17:05:00,Swing,VIM-01,IN718,LPT Blade,5,1515.9,1049.9,49.2,6,6,0,1.0,[],27.5,0.793
EVT-10012,2025-10-01,2025-10-01 17:59:00,Swing,VIM-02,IN738,LPT Blade,6,1522.8,1069.9,50.0,8,6,2,0.75,"[""Hot Tear"", ""Porosity""]",37.4,0.79
EVT-10013,2025-10-01,2025-10-01 18:18:00,Swing,VIM-03,René-80,HPT Blade,7,1509.2,1052.0,49.0,6,5,1,0.833,"[""Hot Tear""]",41.9,0.8
EVT-10014,2025-10-01,2025-10-01 19:25:00,Swing,VIM-03,IN738,HPT Blade,8,1523.6,1066.7,52.2,6,3,3,0.5,"[""Dimensional"", ""Misrun"", ""Shell Crack""]",36.2,0.79
EVT-10015,2025-10-01,2025-10-01 19:59:00,Swing,VIM-03,IN718,LPT Blade,1,1502.1,1026.6,54.0,8,5,3,0.625,"[""Stray Grain"", ""Inclusion"", ""Porosity""]",37.6,0.76
EVT-10016,2025-10-01,2025-10-01 21:44:00,Night,VIM-02,IN738,HPT Blade,1,1530.5,1052.5,49.1,4,2,2,0.5,"[""Stray Grain"", ""Porosity""]",36.6,0.669
EVT-10017,2025-10-01,2025-10-01 22:51:00,Night,VIM-04,IN718,Nozzle Guide Vane,2,1480.7,1052.8,51.1,8,7,1,0.875,"[""Inclusion""]",38.0,0.728
EVT-10018,2025-10-01,2025-10-01 23:43:00,Night,VIM-04,IN718,LPT Blade,3,1476.1,1030.5,53.1,4,3,1,0.75,"[""Dimensional""]",36.0,0.74
EVT-10019,2025-10-01,2025-10-01 23:59:00,Night,VIM-01,CMSX-4,Nozzle Guide Vane,4,1540.2,1091.7,51.0,8,5,3,0.625,"[""Stray Grain"", ""Stray Grain"", ""Inclusion""]",40.6,0.58
EVT-10020,2025-10-01,2025-10-02 00:53:00,Night,VIM-02,IN718,Seal Ring,5,1492.9,1062.7,50.7,8,6,2,0.75,"[""Porosity"", ""Surface Finish""]",37.7,0.78
EVT-10021,2025-10-02,2025-10-02 06:20:00,Day,VIM-01,CMSX-4,HPT Blade,1,1548.1,1078.8,46.9,6,3,3,0.5,"[""Shell Crack"", ""Stray Grain"", ""Surface Finish""]",36.6,0.56
EVT-10022,2025-10-02,2025-10-02 06:37:00,Day,VIM-03,IN718,HPT Blade,2,1520.1,1056.2,46.2,8,6,2,0.75,"[""Dimensional"", ""Porosity""]",33.9,0.766
EVT-10023,2025-10-02,2025-10-02 07:11:00,Day,VIM-01,IN738,LPT Blade,3,1509.8,1070.0,45.9,6,5,1,0.833,"[""Dimensional""]",32.3,0.77
EVT-10024,2025-10-02,2025-10-02 08:13:00,Day,VIM-01,CMSX-4,Nozzle Guide Vane,4,1525.3,1082.2,47.4,4,1,3,0.25,"[""Shell Crack"", ""Dimensional"", ""Shell Crack""]",39.9,0.571
EVT-10025,2025-10-02,2025-10-02 08:54:00,Day,VIM-04,IN718,LPT Blade,5,1505.6,1034.4,44.6,6,6,0,1.0,[],31.8,0.82
EVT-10026,2025-10-02,2025-10-02 09:47:00,Day,VIM-03,CMSX-4,Seal Ring,6,1541.8,1066.8,51.0,12,9,3,0.75,"[""Surface Finish"", ""Stray Grain"", ""Shell Crack""]",36.5,0.62
EVT-10027,2025-10-02,2025-10-02 10:38:00,Day,VIM-03,Waspaloy,HPT Blade,7,1492.5,1054.5,49.2,6,5,1,0.833,"[""Dimensional""]",17.6,0.84
EVT-10028,2025-10-02,2025-10-02 10:57:00,Day,VIM-03,IN738,Seal Ring,8,1517.3,1062.0,49.6,8,8,0,1.0,[],42.2,0.79
EVT-10029,2025-10-02,2025-10-02 11:58:00,Day,VIM-03,IN718,LPT Blade,1,1504.3,1075.8,49.1,6,4,2,0.667,"[""Porosity"", ""Dimensional""]",29.3,0.76
EVT-10030,2025-10-02,2025-10-02 12:36:00,Day,VIM-03,IN718,LPT Blade,2,1492.8,1055.5,45.4,6,5,1,0.833,"[""Shell Crack""]",32.2,0.8
EVT-10031,2025-10-02,2025-10-02 13:18:00,Day,VIM-01,IN738,LPT Blade,3,1498.5,1066.2,44.9,4,4,0,1.0,[],35.9,0.747
EVT-10032,2025-10-02,2025-10-02 13:53:00,Swing,VIM-03,Waspaloy,HPT Blade,1,1478.4,1040.5,49.3,8,8,0,1.0,[],33.2,0.78
EVT-10033,2025-10-02,2025-10-02 15:06:00,Swing,VIM-01,IN718,Nozzle Guide Vane,2,1473.9,1044.1,46.7,8,7,1,0.875,"[""Shell Crack""]",37.5,0.756
EVT-10034,2025-10-02,2025-10-02 15:33:00,Swing,VIM-01,IN718,HPT Blade,3,1497.7,1043.1,46.1,6,4,2,0.667,"[""Inclusion"", ""Inclusion""]",34.6,0.82
EVT-10035,2025-10-02,2025-10-02 16:20:00,Swing,VIM-04,IN718,LPT Blade,4,1499.9,1056.8,49.0,8,6,2,0.75,"[""Inclusion"", ""Dimensional""]",35.1,0.82
EVT-10036,2025-10-02,2025-10-02 16:35:00,Swing,VIM-03,IN738,HPT Blade,5,1511.2,1052.2,47.4,6,4,2,0.667,"[""Porosity"", ""Inclusion""]",31.0,0.79
EVT-10037,2025-10-02,2025-10-02 17:43:00,Swing,VIM-02,IN718,HPT Blade,6,1505.4,1059.7,48.7,12,8,4,0.667,"[""Dimensional"", ""Dimensional"", ""Inclusion"", ""Porosity""]",43.9,0.82
EVT-10038,2025-10-02,2025-10-02 18:39:00,Swing,VIM-04,IN738,HPT Blade,7,1516.0,1072.6,45.6,8,4,4,0.5,"[""Porosity"", ""Shell Crack"", ""Shell Crack"", ""Shell Crack""]",35.4,0.79
EVT-10039,2025-10-02,2025-10-02 19:18:00,Swing,VIM-04,René-80,Nozzle Guide Vane,8,1519.1,1069.1,46.3,6,6,0,1.0,[],35.3,0.8
EVT-10040,2025-10-02,2025-10-02 21:58:00,Night,VIM-03,Waspaloy,HPT Blade,1,1527.6,1010.6,47.9,6,4,2,0.667,"[""Shell Crack"", ""Inclusion""]",35.2,0.69
EVT-10041,2025-10-02,2025-10-02 22:43:00,Night,VIM-04,IN738,HPT Blade,2,1532.0,1068.1,46.1,4,3,1,0.75,"[""Misrun""]",37.1,0.706
EVT-10042,2025-10-02,2025-10-02 23:42:00,Night,VIM-01,CMSX-4,HPT Blade,3,1541.9,1105.4,48.4,6,4,2,0.667,"[""Inclusion"", ""Porosity""]",30.9,0.58
EVT-10043,2025-10-02,2025-10-03 00:08:00,Night,VIM-01,IN738,HPT Blade,4,1524.7,1041.6,49.4,6,4,2,0.667,"[""Shell Crack"", ""Shell Crack""]",29.7,0.75
EVT-10044,2025-10-03,2025-10-03 05:57:00,Day,VIM-02,IN738,Seal Ring,1,1532.5,1035.1,43.1,12,11,1,0.917,"[""Shell Crack""]",35.5,0.705
EVT-10045,2025-10-03,2025-10-03 06:48:00,Day,VIM-03,CMSX-4,Combustor Liner,2,1544.0,1097.2,44.7,8,4,4,0.5,"[""Stray Grain"", ""Hot Tear"", ""Dimensional"", ""Inclusion""]",39.4,0.6
EVT-10046,2025-10-03,2025-10-03 07:15:00,Day,VIM-02,CMSX-4,HPT Blade,3,1540.8,1090.5,42.4,8,4,4,0.5,"[""Porosity"", ""Dimensional"", ""Shell Crack"", ""Stray Grain""]",33.2,0.62
EVT-10047,2025-10-03,2025-10-03 08:14:00,Day,VIM-02,Waspaloy,Nozzle Guide Vane,4,1489.1,1025.7,47.0,6,5,1,0.833,"[""Dimensional""]",41.8,0.84
EVT-10048,2025-10-03,2025-10-03 09:09:00,Day,VIM-02,IN738,Nozzle Guide Vane,5,1530.3,1065.7,44.3,8,7,1,0.875,"[""Porosity""]",27.8,0.769
EVT-10049,2025-10-03,2025-10-03 09:40:00,Day,VIM-01,CMSX-4,Nozzle Guide Vane,6,1549.6,1088.2,43.6,8,4,4,0.5,"[""Porosity"", ""Inclusion"", ""Stray Grain"", ""Inclusion""]",46.5,0.62
EVT-10050,2025-10-03,2025-10-03 10:48:00,Day,VIM-01,IN718,Shroud,7,1499.6,1076.6,42.5,6,6,0,1.0,[],34.6,0.82
EVT-10051,2025-10-03,2025-10-03 10:55:00,Day,VIM-03,IN718,Nozzle Guide Vane,8,1507.4,1069.3,45.2,8,6,2,0.75,"[""Misrun"", ""Shell Crack""]",33.6,0.82
EVT-10052,2025-10-03,2025-10-03 11:59:00,Day,VIM-03,Waspaloy,LPT Blade,1,1496.7,1036.2,46.1,8,7,1,0.875,"[""Inclusion""]",34.1,0.78
EVT-10053,2025-10-03,2025-10-03 13:10:00,Day,VIM-01,IN738,LPT Blade,2,1515.6,1074.8,45.5,8,5,3,0.625,"[""Porosity"", ""Inclusion"", ""Inclusion""]",31.7,0.77
EVT-10054,2025-10-03,2025-10-03 13:24:00,Day,VIM-04,René-80,HPT Blade,3,1505.1,1075.3,47.0,6,6,0,1.0,[],34.8,0.8
EVT-10055,2025-10-03,2025-10-03 14:00:00,Swing,VIM-04,IN718,Shroud,1,1502.8,1067.1,43.1,6,4,2,0.667,"[""Stray Grain"", ""Shell Crack""]",27.5,0.76
EVT-10056,2025-10-03,2025-10-03 14:55:00,Swing,VIM-04,René-80,Shroud,2,1505.9,1038.6,45.4,6,6,0,1.0,[],33.2,0.78
EVT-10057,2025-10-03,2025-10-03 15:41:00,Swing,VIM-04,IN738,Nozzle Guide Vane,3,1525.8,1059.2,43.4,12,8,4,0.667,"[""Inclusion"", ""Surface Finish"", ""Shell Crack"", ""Shell Crack""]",35.7,0.79
EVT-10058,2025-10-03,2025-10-03 16:20:00,Swing,VIM-01,CMSX-4,Nozzle Guide Vane,4,1549.7,1091.1,45.4,8,3,5,0.375,"[""Inclusion"", ""Stray Grain"", ""Inclusion"", ""Inclusion"", ""Stray Grain""]",33.9,0.62
EVT-10059,2025-10-03,2025-10-03 16:59:00,Swing,VIM-04,IN718,LPT Blade,5,1500.0,1059.8,40.0,4,4,0,1.0,[],33.4,0.82
EVT-10060,2025-10-03,2025-10-03 17:46:00,Swing,VIM-02,IN718,Nozzle Guide Vane,6,1507.3,1052.8,42.9,6,5,1,0.833,"[""Surface Finish""]",36.8,0.82
EVT-10061,2025-10-03,2025-10-03 18:34:00,Swing,VIM-03,IN718,HPT Blade,7,1493.7,1043.3,46.1,8,4,4,0.5,"[""Inclusion"", ""Shell Crack"", ""Porosity"", ""Dimensional""]",36.2,0.82
EVT-10062,2025-10-03,2025-10-03 19:17:00,Swing,VIM-01,Waspaloy,HPT Blade,8,1467.1,1027.5,43.7,12,8,4,0.667,"[""Shell Crack"", ""Inclusion"", ""Dimensional"", ""Dimensional""]",36.0,0.809
EVT-10063,2025-10-03,2025-10-03 20:03:00,Swing,VIM-02,IN738,HPT Blade,1,1527.1,1042.9,45.0,8,7,1,0.875,"[""Inclusion""]",34.6,0.73
EVT-10064,2025-10-03,2025-10-03 20:44:00,Swing,VIM-02,IN718,Combustor Liner,2,1509.4,1056.4,41.9,6,6,0,1.0,[],36.0,0.8
EVT-10065,2025-10-03,2025-10-03 21:24:00,Swing,VIM-01,CMSX-4,HPT Blade,3,1528.7,1066.1,41.6,12,3,9,0.25,"[""Stray Grain"", ""Hot Tear"", ""Dimensional"", ""Dimensional"", ""Hot Tear"", ""Stray Grain"", ""Shell Crack"", ""Shell Crack"", ""Stray Grain""]",34.9,0.579
EVT-10066,2025-10-03,2025-10-03 22:21:00,Night,VIM-02,IN718,Nozzle Guide Vane,1,1506.3,1041.4,43.8,8,7,1,0.875,"[""Surface Finish""]",40.5,0.72
EVT-10067,2025-10-03,2025-10-03 22:50:00,Night,VIM-03,IN738,Shroud,2,1518.9,1064.6,45.9,8,8,0,1.0,[],40.7,0.73
EVT-10068,2025-10-03,2025-10-03 23:33:00,Night,VIM-03,IN738,Seal Ring,3,1534.8,1076.6,42.6,8,5,3,0.625,"[""Inclusion"", ""Shell Crack"", ""Shell Crack""]",29.2,0.72
EVT-10069,2025-10-03,2025-10-04 00:13:00,Night,VIM-03,IN718,Nozzle Guide Vane,4,1503.8,1065.7,43.2,4,4,0,1.0,[],40.0,0.78
EVT-10070,2025-10-03,2025-10-04 00:55:00,Night,VIM-04,IN738,Nozzle Guide Vane,5,1530.0,1054.1,40.7,8,7,1,0.875,"[""Dimensional""]",33.5,0.75
EVT-10071,2025-10-03,2025-10-04 01:45:00,Night,VIM-01,IN718,HPT Blade,6,1504.6,1031.4,45.1,6,6,0,1.0,[],37.0,0.78
EVT-10072,2025-10-03,2025-10-04 02:19:00,Night,VIM-04,IN738,Nozzle Guide Vane,7,1540.9,1058.3,46.0,6,3,3,0.5,"[""Inclusion"", ""Inclusion"", ""Hot Tear""]",34.8,0.708
EVT-10073,2025-10-04,2025-10-04 06:09:00,Day,VIM-01,IN738,Combustor Liner,1,1510.1,1054.7,53.2,12,8,4,0.667,"[""Inclusion"", ""Misrun"", ""Misrun"", ""Porosity""]",41.7,0.73
EVT-10074,2025-10-04,2025-10-04 06:54:00,Day,VIM-03,Waspaloy,LPT Blade,2,1513.8,1022.2,52.1,6,6,0,1.0,[],33.4,0.788
EVT-10075,2025-10-04,2025-10-04 07:24:00,Day,VIM-04,CMSX-4,Nozzle Guide Vane,3,1532.0,1081.7,51.6,8,4,4,0.5,"[""Shell Crack"", ""Porosity"", ""Inclusion"", ""Dimensional""]",37.0,0.587
EVT-10076,2025-10-04,2025-10-04 08:33:00,Day,VIM-01,IN718,LPT Blade,4,1486.7,1064.6,55.2,8,8,0,1.0,[],36.1,0.796
EVT-10077,2025-10-04,2025-10-04 09:11:00,Day,VIM-04,CMSX-4,HPT Blade,5,1538.4,1078.5,55.5,8,5,3,0.625,"[""Shell Crack"", ""Shell Crack"", ""Dimensional""]",30.7,0.616
EVT-10078,2025-10-04,2025-10-04 09:43:00,Day,VIM-04,CMSX-4,Nozzle Guide Vane,6,1536.5,1098.2,54.8,4,3,1,0.75,"[""Stray Grain""]",34.4,0.599
EVT-10079,2025-10-04,2025-10-04 10:37:00,Day,VIM-04,IN718,HPT Blade,7,1491.6,1040.4,53.8,8,8,0,1.0,[],40.2,0.82
EVT-10080,2025-10-04,2025-10-04 11:15:00,Day,VIM-04,Waspaloy,HPT Blade,8,1482.2,1010.8,57.6,4,3,1,0.75,"[""Inclusion""]",31.2,0.82
EVT-10081,2025-10-04,2025-10-04 11:44:00,Day,VIM-02,Waspaloy,HPT Blade,1,1492.9,1029.2,57.7,8,7,1,0.875,"[""Shell Crack""]",41.6,0.758
EVT-10082,2025-10-04,2025-10-04 14:05:00,Swing,VIM-04,Waspaloy,Combustor Liner,1,1500.4,1030.4,53.6,6,4,2,0.667,"[""Shell Crack"", ""Shell Crack""]",37.9,0.78
EVT-10083,2025-10-04,2025-10-04 14:29:00,Swing,VIM-02,IN718,HPT Blade,2,1496.5,1043.9,54.1,6,4,2,0.667,"[""Porosity"", ""Stray Grain""]",25.0,0.8
EVT-10084,2025-10-04,2025-10-04 15:30:00,Swing,VIM-04,René-80,Seal Ring,3,1523.4,1056.1,56.2,6,4,2,0.667,"[""Dimensional"", ""Porosity""]",35.0,0.766
EVT-10085,2025-10-04,2025-10-04 15:59:00,Swing,VIM-04,René-80,Seal Ring,4,1502.1,1091.8,58.3,4,2,2,0.5,"[""Porosity"", ""Dimensional""]",39.8,0.774
EVT-10086,2025-10-04,2025-10-04 21:58:00,Night,VIM-04,IN718,Nozzle Guide Vane,1,1459.3,1006.7,57.0,4,3,1,0.75,"[""Inclusion""]",42.5,0.636
EVT-10087,2025-10-04,2025-10-04 22:27:00,Night,VIM-02,IN738,HPT Blade,2,1526.5,1076.5,55.2,6,5,1,0.833,"[""Porosity""]",31.3,0.728
EVT-10088,2025-10-04,2025-10-04 23:35:00,Night,VIM-01,Waspaloy,Seal Ring,3,1479.5,994.0,58.3,4,4,0,1.0,[],38.8,0.774
EVT-10089,2025-10-05,2025-10-05 06:07:00,Day,VIM-03,Waspaloy,HPT Blade,1,1487.4,1056.8,47.4,8,8,0,1.0,[],28.8,0.78
